[ 0.01489366  0.99097337  0.13323362  0.3684025 ],[ 0.69363025 -0.10621274  0.71245752 -0.06051285],[ 0.72017711  0.08180313 -0.68895165 -0.05404658],[ 0.  0.  0.  1.]
[-0.99839301  0.00178937 -0.05663554  0.38945686],[ 0.04885206 -0.47923996 -0.87632316 -0.04674459],[-0.02870934 -0.87768224  0.47838294 -0.04245336],[ 0.  0.  0.  1.]
[ -9.99933288e-01  -6.62475858e-04  -1.15039219e-02   4.03765831e-01],[ 0.00961481 -0.5982195  -0.80127492 -0.02774109],[-0.00635066 -0.8013327   0.59818635 -0.02219615],[ 0.  0.  0.  1.]
[-0.95151856  0.30561743 -0.03477914  0.40539982],[-0.18412461 -0.65650459 -0.73150477  0.01676753],[-0.24639309 -0.68963721  0.680949    0.02313206],[ 0.  0.  0.  1.]
[-0.70638457  0.33515941  0.62344874  0.39103576],[-0.5873165  -0.7691373  -0.25196588  0.00741898],[ 0.3950696  -0.544147    0.74015186 -0.05228634],[ 0.  0.  0.  1.]
[-0.640107    0.44303757  0.62767862  0.38710576],[-0.70869984 -0.65595983 -0.25973374  0.06019774],[ 0.29666095 -0.61109368  0.73386507 -0.01625269],[ 0.  0.  0.  1.]
[-0.85677079  0.50933189  0.08077127  0.39534285],[-0.41578361 -0.58959678 -0.69245873  0.03806496],[-0.30506849 -0.62686245  0.71692191  0.04627361],[ 0.  0.  0.  1.]
[-0.77795712  0.61757505  0.11568801  0.37615613],[-0.46520273 -0.44238581 -0.76673465  0.05599741],[-0.42233668 -0.65030606  0.6314548   0.06595126],[ 0.  0.  0.  1.]
[-0.44042572  0.25051136 -0.8621302   0.39036526],[ 0.83214984 -0.24652238 -0.49674247 -0.0596576 ],[-0.33697425 -0.93620048 -0.09988772  0.01087604],[ 0.  0.  0.  1.]
[-0.44426577  0.29342023 -0.846482    0.38679678],[ 0.72396422 -0.4389882  -0.53213215 -0.02539738],[-0.52773422 -0.84923183 -0.01739765  0.06307525],[ 0.  0.  0.  1.]
