[-0.64922936  0.74523664 -0.15206605  0.10945176],[-0.68997401 -0.49292864  0.53005427  0.04348746],[ 0.32005786  0.44904863  0.8342175   0.0487924 ],[ 0.  0.  0.  1.]
[-0.86473816  0.39028657  0.31607691  0.10889363],[ 0.32715424 -0.03975608  0.94413436 -0.02282378],[ 0.38104881  0.91983532 -0.09330525  0.05652506],[ 0.  0.  0.  1.]
[-0.24188202  0.9480173  -0.20677729  0.06821042],[-0.93522106 -0.17099309  0.31003777  0.08258968],[ 0.25856363  0.268375    0.9279656   0.0429323 ],[ 0.  0.  0.  1.]
[-0.20658319  0.97348791  0.09820559  0.07798991],[-0.7919862  -0.10743668 -0.60101184  0.06620627],[-0.57452707 -0.20193625  0.79318358  0.09634546],[ 0.  0.  0.  1.]
[-0.33664652  0.92276333  0.18755708  0.08851042],[ 0.48102555  0.33976016 -0.80819423  0.0145467 ],[-0.8094957  -0.1818562  -0.5582518   0.11501921],[ 0.  0.  0.  1.]
[-0.48248193  0.83643525  0.25997863  0.07465628],[ 0.75512037  0.54760922 -0.36044161 -0.04065571],[-0.44385221  0.02240836 -0.89582019  0.10461399],[ 0.  0.  0.  1.]
[-0.43218678  0.84753096  0.30807026  0.06752706],[ 0.90111868  0.41900711  0.11143849 -0.06406293],[-0.03463588  0.32577004 -0.94481494  0.04882306],[ 0.  0.  0.  1.]
[ 0.10558616  0.84475466 -0.52463552 -0.02626751],[-0.98145389  0.17341539  0.08170517  0.08505182],[ 0.16000048  0.50627879  0.84739763 -0.00501108],[ 0.  0.  0.  1.]
[ 0.04023977  0.98212883 -0.18385554  0.00666711],[-0.99675057  0.0266065  -0.07602713  0.09261831],[-0.06977676  0.18631727  0.98000853  0.03949406],[ 0.  0.  0.  1.]
[ -6.24442426e-04   9.98107300e-01  -6.15058658e-02   1.79796214e-02],[-0.88726987 -0.02892275 -0.46034316  0.07855833],[-0.46125033  0.05428495  0.88560831  0.1165179 ],[ 0.  0.  0.  1.]
[-0.22579662  0.97149305 -0.07223263  0.02217935],[ 0.1934577  -0.02795423 -0.98071048  0.01540015],[-0.95477237 -0.23541502 -0.1816308   0.14453943],[ 0.  0.  0.  1.]
[-0.17929376  0.95674977 -0.22909189  0.01470522],[ 0.59201342 -0.08105679 -0.80184168 -0.05269821],[-0.78573153 -0.27939042 -0.55187578  0.12142577],[ 0.  0.  0.  1.]
[-0.21331115  0.96479734  0.15383497  0.00708985],[ 0.9671766   0.18628047  0.17282706 -0.07341926],[ 0.13808661  0.18565138 -0.97286486  0.04581365],[ 0.  0.  0.  1.]
[ 0.36391643  0.86967735  0.33350818 -0.03618288],[ 0.91770737 -0.39602094  0.03130596 -0.06545946],[ 0.15930205  0.29467002 -0.94222762  0.00155282],[ 0.  0.  0.  1.]
[ 0.44579434  0.82188726 -0.35464076 -0.04745349],[-0.89113297  0.37005773 -0.26256373  0.08209338],[-0.08456107  0.43308211  0.89738031  0.05026896],[ 0.  0.  0.  1.]
[ 0.56694734  0.82060496 -0.07196601 -0.04271299],[-0.70957218  0.44211755 -0.54867098  0.06829655],[-0.41842534  0.36213307  0.83293542  0.10467663],[ 0.  0.  0.  1.]
[ 0.61623681  0.62997916  0.47262954 -0.04338628],[-0.15049085  0.68325202 -0.71450665  0.02012216],[-0.7730495   0.36917952  0.51585079  0.12956544],[ 0.  0.  0.  1.]
[ 0.63085343  0.31556271  0.70883304 -0.05347258],[ 0.76961804 -0.13846598 -0.62331038 -0.03184895],[-0.09854468  0.93874904 -0.33021404  0.11651614],[ 0.  0.  0.  1.]
[ 0.34689073 -0.28422921  0.89380125 -0.06055957],[ 0.91921052 -0.0862944  -0.38419546 -0.05196319],[ 0.18632904  0.95486599  0.23133186  0.06144895],[ 0.  0.  0.  1.]
[ 0.89439588  0.44646161 -0.02698808 -0.07880736],[-0.34997045  0.66096694 -0.66380938  0.04521762],[-0.27852828  0.60315389  0.74741469  0.06432634],[ 0.  0.  0.  1.]
[ 0.86699295  0.23646733  0.43864136 -0.07930744],[ 0.27741037  0.50220097 -0.81904668 -0.01090013],[-0.41396443  0.83179263  0.36980585  0.06715547],[ 0.  0.  0.  1.]
[ 0.33445489  0.23419876  0.91284759 -0.01112453],[ 0.04102759  0.96409233 -0.26237859  0.02499358],[-0.94151896  0.12520613  0.31283615  0.1442062 ],[ 0.  0.  0.  1.]
