[-0.05025323  0.73442201  0.67683014  0.36033713],[-0.03624301 -0.67858131  0.73363084 -0.03054597],[ 0.99807905  0.01233675  0.06071787 -0.0768658 ],[ 0.  0.  0.  1.]
[-0.06753451  0.99284498  0.09848014  0.36477971],[ 0.87092707  0.01050965  0.4912998  -0.07755295],[ 0.48674948  0.11894825 -0.86540582 -0.02966521],[ 0.  0.  0.  1.]
[ 0.08234376  0.68257431  0.72616222  0.33674536],[-0.47981585 -0.61147818  0.62918317  0.02147025],[ 0.87349726 -0.40023392  0.27715804 -0.07824879],[ 0.  0.  0.  1.]
[-0.62804726  0.28363225  0.72464376  0.38781012],[-0.63992049 -0.7181049  -0.2735448   0.01919695],[ 0.44278531 -0.63551375  0.63250601 -0.05366751],[ 0.  0.  0.  1.]
[-0.85648152  0.29112013 -0.4262483   0.40760757],[ 0.32049856 -0.34738512 -0.88125179 -0.02018784],[-0.40462209 -0.89138884  0.20422602 -0.01924367],[ 0.  0.  0.  1.]
[-0.59628229  0.43588066 -0.67413312  0.39012559],[ 0.72032606 -0.08018341 -0.6889858  -0.05635034],[-0.3543696  -0.89642707 -0.26616385  0.02239969],[ 0.  0.  0.  1.]
[-0.20827723  0.70358551 -0.679403    0.33698667],[ 0.92072576 -0.09331073 -0.37888934 -0.08613149],[-0.32997665 -0.70445931 -0.62837468  0.02157092],[ 0.  0.  0.  1.]
[ 0.16006997  0.85309275  0.49659949  0.24964467],[-0.7498626  -0.22207904  0.62320738  0.06523108],[ 0.64193799 -0.47213902  0.60415377 -0.03666553],[ 0.  0.  0.  1.]
[-0.07340239  0.63297956  0.77067993  0.30468305],[-0.79045498 -0.508119    0.34204589  0.06449897],[ 0.60810629 -0.58408149  0.53763914 -0.04630335],[ 0.  0.  0.  1.]
[-0.43329942  0.52288933  0.73405631  0.37729005],[-0.80001682 -0.59820285 -0.04611834  0.07003572],[ 0.41500009 -0.60724114  0.67752096 -0.01538589],[ 0.  0.  0.  1.]
[-0.94023798  0.255772   -0.22479497  0.4019216 ],[-0.0034789  -0.6673382  -0.74474687  0.02856272],[-0.34049927 -0.69945761  0.62834727  0.03426367],[ 0.  0.  0.  1.]
[-0.7570618   0.20844614 -0.61919865  0.37591571],[ 0.317159   -0.71132776 -0.62723399 -0.02479643],[-0.57119801 -0.67123945  0.47240975  0.07554306],[ 0.  0.  0.  1.]
[ 0.04991338  0.62914299 -0.77568512  0.30521971],[ 0.89127987 -0.37853158 -0.2496679  -0.05813968],[-0.45069863 -0.6788918  -0.57963616  0.06580409],[ 0.  0.  0.  1.]
[ 0.34234304  0.66123153 -0.66751323  0.24595214],[ 0.51781283 -0.72559233 -0.45319583 -0.03957796],[-0.78400968 -0.19049932 -0.59079563  0.07194612],[ 0.  0.  0.  1.]
[ 0.11038772  0.78407073  0.61077739  0.28799971],[-0.95657766 -0.08298579  0.27941729  0.09194177],[  2.69768145e-01  -6.15100266e-01   7.40862699e-01  -2.11358047e-04],[ 0.  0.  0.  1.]
[-0.11935954  0.72340596  0.68002781  0.33761552],[-0.9913579  -0.04927662 -0.12158398  0.09489005],[-0.05444504 -0.68866319  0.72303483  0.02629515],[ 0.  0.  0.  1.]
[-0.38976232  0.6462373   0.65609679  0.35764166],[-0.70708663  0.24644391 -0.66279317  0.06659732],[-0.59001196 -0.72224933  0.36089088  0.06799831],[ 0.  0.  0.  1.]
[ 0.23855106  0.97071191  0.02851121  0.33973615],[ 0.17225567 -0.01340246 -0.98496173  0.02983408],[-0.95573083  0.23987544 -0.17040721  0.10406593],[ 0.  0.  0.  1.]
[ 0.35800727  0.70039365  0.61747878  0.28735649],[ 0.53703811  0.38652302 -0.74979433  0.00270621],[-0.76382028  0.60004158 -0.23775907  0.10129991],[ 0.  0.  0.  1.]
[ 0.171012    0.76350235  0.62275097  0.28423193],[-0.87529617  0.40791142 -0.25974194  0.08711783],[-0.45234125 -0.50067219  0.73804808  0.04981897],[ 0.  0.  0.  1.]
[ 0.05869027  0.85916378  0.50832419  0.28471548],[-0.42956515  0.48138417 -0.76403141  0.04625487],[-0.90112675 -0.17351693  0.39731897  0.08838634],[ 0.  0.  0.  1.]
[-0.66613381  0.25197463  0.70197854  0.38604363],[-0.44627307  0.61946143 -0.64583944  0.05541718],[-0.59758396 -0.7434896  -0.30019494  0.04936404],[ 0.  0.  0.  1.]
